Episode,Success,SuccessRate
1,0,0.0
2,1,0.5
3,1,0.6666666666666666
4,0,0.5
5,0,0.4
6,0,0.3333333333333333
7,1,0.42857142857142855
8,1,0.5
9,0,0.4444444444444444
10,0,0.4
11,1,0.45454545454545453
12,1,0.5
13,0,0.46153846153846156
14,0,0.42857142857142855
15,0,0.4
16,0,0.375
17,1,0.4117647058823529
18,1,0.4444444444444444
19,0,0.42105263157894735
20,0,0.4
21,0,0.38095238095238093
22,1,0.4090909090909091
23,0,0.391304347826087
24,0,0.375
25,1,0.4
26,1,0.4230769230769231
27,1,0.4444444444444444
28,0,0.42857142857142855
29,1,0.4482758620689655
30,0,0.43333333333333335
31,1,0.45161290322580644
32,1,0.46875
33,0,0.45454545454545453
34,0,0.4411764705882353
35,1,0.45714285714285713
36,0,0.4444444444444444
37,0,0.43243243243243246
38,0,0.42105263157894735
39,1,0.4358974358974359
40,1,0.45
41,0,0.43902439024390244
42,1,0.4523809523809524
43,1,0.46511627906976744
44,0,0.45454545454545453
45,0,0.4444444444444444
46,0,0.43478260869565216
47,0,0.425531914893617
48,1,0.4375
49,0,0.42857142857142855
50,1,0.44
51,1,0.45098039215686275
52,0,0.4423076923076923
53,0,0.4339622641509434
54,0,0.42592592592592593
55,1,0.43636363636363634
56,0,0.42857142857142855
57,0,0.42105263157894735
58,0,0.41379310344827586
59,1,0.423728813559322
60,1,0.43333333333333335
61,0,0.4262295081967213
62,0,0.41935483870967744
63,1,0.42857142857142855
64,0,0.421875
65,0,0.4153846153846154
66,0,0.4090909090909091
67,1,0.417910447761194
68,0,0.4117647058823529
69,0,0.4057971014492754
70,0,0.4
71,0,0.39436619718309857
72,0,0.3888888888888889
73,1,0.3972602739726027
74,0,0.3918918918918919
75,0,0.38666666666666666
76,0,0.3815789473684211
77,0,0.37662337662337664
78,0,0.3717948717948718
79,0,0.3670886075949367
80,0,0.3625
81,1,0.37037037037037035
82,0,0.36585365853658536
83,0,0.3614457831325301
84,0,0.35714285714285715
85,1,0.36470588235294116
86,1,0.37209302325581395
87,1,0.3793103448275862
88,0,0.375
89,1,0.38202247191011235
90,0,0.37777777777777777
91,0,0.37362637362637363
92,0,0.3695652173913043
93,0,0.3655913978494624
94,0,0.3617021276595745
95,0,0.35789473684210527
96,0,0.3541666666666667
97,0,0.35051546391752575
98,0,0.3469387755102041
99,1,0.35353535353535354
100,0,0.35
